k,standard_PCA_avg_loss,standard_PCA_standard_error,fair_PCA_avg_loss,fair_PCA_standard_error,LAFTR_avg_loss,LAFTR_standard_error
2,0.38925245757042304,0.0036553012649537136,0.4099132383034087,0.003601717090007949,0.3570860937986551,0.00541765040093255
4,0.38426465627117923,0.003539967123389553,0.4092518249297387,0.0037892264173293726,0.35480408723262996,0.004823020752757781
6,0.37635225250942106,0.0031658452025773377,0.4027307760237882,0.0039320546403415054,0.35925112773285495,0.003739984532785261
8,0.3744409558798208,0.0032178978572271763,0.3912499535070488,0.004102826675092562,0.350279893226944,0.0036120298974033653
10,0.36282978512776787,0.0037623937120800964,0.3809931233926143,0.004175359673708249,0.3499152878615723,0.00442092880375733
12,0.3611030436560544,0.0037357874603979563,0.3806495630763382,0.004245813394404471,0.3525149819440066,0.0034644400270533076
14,0.3609281470220804,0.0036387394628136552,0.3791936914946874,0.004059958823011281,0.3520748705950568,0.0037068969444512706
16,0.35641930705894365,0.0034047209225340678,0.37836983444295147,0.0038741310298328617,0.35018496123804455,0.0049117996037089905
18,0.3537891319710445,0.003122817652478584,0.37661805800354475,0.00385901437962149,0.34811138417835336,0.004106160005972896
20,0.34725014943520777,0.0034510825104745696,0.3697898448974662,0.003614349002101305,0.34968902863058565,0.002842858708551957
22,0.34574985437564854,0.0034737134456777528,0.36824866150045377,0.0037208667732458074,0.3484444366413366,0.0030306286835852314
24,0.3424808629452482,0.0031892938682882145,0.36806800913447,0.0038924898566232266,0.34965397180661173,0.0031558831154422646
26,0.3376808037925868,0.003163650854610451,0.36751281264632335,0.0039483886871117795,0.3496475771052251,0.004270026287648744
28,0.33596963092972554,0.003495890890779375,0.3659653972022714,0.003995954598777728,0.3479798593085882,0.0033704269029098247
30,0.3345180654807906,0.0029006591713793073,0.36203016400666854,0.003579488210782963,0.3471522356468966,0.004451876807984446
32,0.33368655964640725,0.0028962612329294897,0.36199415056213746,0.0036049141611738944,0.34690917604197413,0.0027614494098393487
34,0.3337038612839999,0.003039978647629658,0.3617893003291102,0.003632626127514592,0.34535645872994813,0.004757138681089388
36,0.3335129449382558,0.003174389221637429,0.36088098977341565,0.0038647224276455636,0.346832728912586,0.004272682337942597
38,0.3328742400557039,0.00326179112837533,0.35961051114721176,0.004236799912870864,0.3452821482438134,0.002813417524514904
40,0.33245540453085276,0.0033158651995510717,0.3585969130171697,0.004266674143374471,0.34410514686862914,0.00418931742194186
