k,standard_PCA_avg_loss,standard_PCA_standard_error,fair_PCA_avg_loss,fair_PCA_standard_error,LAFTR_avg_loss,LAFTR_standard_error
2,0.36988339272049636,0.004242153346123471,0.39037898575030094,0.004221648685933977,0.3581796565530563,0.004785138939873096
4,0.3609053143275439,0.004431294682312198,0.37039431166858816,0.0039719564493931134,0.3612449938167575,0.005578601154660654
6,0.35623973891551974,0.004047801129458732,0.3598745467760843,0.004215777130086494,0.3823351197017447,0.004859881406625106
8,0.3579676299953364,0.004721153100087618,0.3615531011624429,0.004411268984287942,0.3960946473788442,0.005621421756972797
10,0.35975577938303893,0.0042263145238917365,0.36075124457819535,0.005951016389593949,0.4088373331873603,0.0044585652822848165
12,0.36084626469124376,0.004670262290928843,0.362792771347794,0.004957489985982173,0.4194366028270099,0.00897348779430548
14,0.36773372568563395,0.0062317180200697,0.3750108494894356,0.005595696526308183,0.4281479408003614,0.013018367950079587
16,0.3759495062891025,0.005216933679584047,0.380043300974093,0.006395336653033893,0.4188182619816992,0.013114800588513218
18,0.3907568711216628,0.0073183965555915,0.38221464321233556,0.003228273079870637,0.458737587435148,0.010519618087586025
20,0.3969764012876037,0.0061581887021856085,0.3939003846811552,0.0046418039046960315,0.45902147555689743,0.011897569262794467
22,0.4111950576331324,0.007519756875922297,0.40286356824512515,0.008288198132191138,0.45680450690520386,0.01621190109712227
24,0.41547206951914006,0.0063074860704225855,0.40593818677979654,0.005052281162030001,0.4706845148071336,0.009720704551298871
26,0.41522121842507814,0.0049459018240799206,0.4136349856459941,0.00386873390004269,0.46321286906676135,0.004116312391702859
28,0.4373926316652792,0.007866612987605085,0.42632888230768773,0.006486288548229583,0.47836198404253577,0.01580507080796435
30,0.45981264982550896,0.006781541688682721,0.44004368965993246,0.006777115617913087,0.46659721792676445,0.012653338228504916
32,0.44926133432267756,0.009979747626226955,0.4459212554531464,0.010082757285071204,0.49037688336786617,0.007585275167114175
34,0.46085853216301853,0.007623307170856688,0.46039335960480116,0.012355827993515327,0.5080179800457444,0.012010169329898943
36,0.4676842100753144,0.011379985437897954,0.4590805194860737,0.004618641278096993,0.5151641929257916,0.018590293565561276
38,0.4634300902217,0.011659009360560876,0.4623927806744671,0.009580005163946533,0.5248960985472121,0.018847172250428906
40,0.4855037447370739,0.013514203707802522,0.4690858369788554,0.010080570872734498,0.5002279549705414,0.010115389993101872
