k,standard_PCA_avg_loss,standard_PCA_standard_error,fair_PCA_avg_loss,fair_PCA_standard_error,LAFTR_avg_loss,LAFTR_standard_error
2,0.3944925020797255,0.0034394193218676137,0.4099049593537961,0.003577725916909375,0.3564225716922798,0.005706455399235431
4,0.3888937216940439,0.0033518463962035998,0.41365418898909534,0.0034137166232930784,0.35417499608667236,0.004778487633916569
6,0.38049849612081355,0.003048016019800367,0.40694687717449546,0.0036179840798366966,0.3594575993284912,0.00423582405846774
8,0.3785637515307979,0.003113935194364393,0.3953120916085319,0.0037354335394979635,0.3494419212815371,0.004133812509759578
10,0.36982310715970346,0.003817436398181851,0.3854851549779912,0.003960802764356826,0.34892060530921104,0.00445384440661078
12,0.3681992871908511,0.0038194672562432805,0.3864104908417717,0.004187785221232255,0.35163215343679566,0.0035054364876070075
14,0.36750489659661867,0.0036714619233620283,0.3849214181445395,0.004084870759025717,0.35122500664687006,0.003942017004077344
16,0.3604342537671051,0.0035353375153858104,0.3832068808971728,0.003960505403477935,0.3492082197776233,0.004897604015690843
18,0.35741883676008857,0.003120597731266544,0.3805116095397755,0.0037712645590155646,0.3462430811143789,0.004120174775445442
20,0.351479160217703,0.0036701563390796514,0.37219647827577684,0.003819532581376492,0.3476953272899533,0.0029036692176858873
22,0.3524721102916992,0.003858368236011372,0.37133241793265925,0.0036999984402519693,0.3465702689002935,0.003733529267264727
24,0.3509361884744219,0.0032672708128938057,0.3715672823725479,0.003911042177180295,0.3482105251431573,0.0026909127294483977
26,0.34433829040823627,0.00323296503838849,0.37062796020471034,0.00400558365743335,0.348933716354278,0.004684534421449458
28,0.34064880984827234,0.003707376963299757,0.36862433981914355,0.00436871815062718,0.3470685357374633,0.0031755224891702964
30,0.33889514254972236,0.002756780572129501,0.36474300762145573,0.003504111112733383,0.34600816352041486,0.004940459423814892
32,0.3381731494791431,0.002736609198521503,0.36510069220107866,0.00400344596565702,0.3455763099311192,0.0032235449165112593
34,0.33824574810376057,0.002870590702883156,0.364420592840541,0.0038985922297088836,0.34379099644563,0.004737115997867873
36,0.3380292786358264,0.003053746999502115,0.36402239476121656,0.0038594639445851397,0.34633609160107776,0.0046591530113685485
38,0.33725479064739183,0.0031549950519295833,0.3623779659907163,0.004340947064367337,0.3461481898451238,0.0036804742170244496
40,0.33709593865698634,0.0032515470394723347,0.36151471077235864,0.004271915580502318,0.3446059153902755,0.004742560900465402
