k,avg_error_A0_standard_PCA,avg_error_A1_standard_PCA,avg_loss_A0_standard_PCA,avg_loss_A1_standard_PCA,avg_error_A0_fair_PCA,avg_error_A1_fair_PCA,avg_loss_A0_fair_PCA,avg_loss_A1_fair_PCA,rank_fair_PCA,avg_error_A0_LAFTR,avg_error_A1_LAFTR,avg_loss_A0_LAFTR,avg_loss_A1_LAFTR
1,5.4110651651112756,6.139419088998343,0.04138265421806056,0.4608349721939396,5.490569757364034,5.79947573236077,0.12088724647081978,0.12089161555636636,1.0,5.428600778241135,6.091847419089683,0.05891826734792015,0.4132633022852794
2,4.806963637793172,5.548668035406236,0.04304870387080737,0.43713159486178876,4.878233568560762,5.225855274800212,0.11431863463839682,0.11431883425576406,2.0,4.259542103204912,4.8823572793459356,-0.5043728307174529,-0.22917916119851217
3,4.358390514588571,5.073021526063823,0.040871430805363373,0.44609335767180036,4.447611133004711,4.757022272450723,0.13009204922150358,0.13009410405869976,3.0,3.8344333840739817,4.48522072104164,-0.48308569970922527,-0.14170744735038404
4,4.029002069520197,4.619826563099357,0.058912567618244795,0.4191679908539571,4.102310058693171,4.332883283738724,0.13222055679121975,0.13222471149332357,4.0,3.507397069468777,4.165761326711903,-0.4626924324331746,-0.034897245533497684
5,3.7556189865994525,4.188157387255876,0.09280537536230633,0.34203413382247727,3.8083621252495536,3.9916731321768535,0.1455485140124075,0.14554987874345462,5.0,3.1856465935000386,3.7578154714207517,-0.4771670177371077,-0.08830778201264715
6,3.4527765919917344,3.934199553242019,0.06496550308811,0.400236950618396,3.5507237476707356,3.6968747736448093,0.16291265876711114,0.16291217102118632,6.0,2.9796602532314926,3.6498918267743163,-0.40815083567213173,0.11592922415069339
7,3.196334803033166,3.6962534643794815,0.06565711149974558,0.44774742363066933,3.315893449460388,3.433721798675788,0.1852157579269679,0.1852157579269759,8.0,2.832992757287736,3.391901607183347,-0.2976849342456844,0.14339556643453483
8,2.970543239493155,3.426098391093296,0.06444976349510594,0.4261506492579785,3.0831034309334653,3.17696241601569,0.1770099549354167,0.17701467418037228,8.0,2.559016912181366,3.239303058691158,-0.3470765638166825,0.2393553168558405
9,2.7821863919907797,3.1365813938997325,0.08188941744373547,0.37139369212483775,2.865531994367328,2.9304227118137187,0.16523501982028388,0.16523501003882443,9.0,2.4934144584972944,3.200418380685548,-0.20688251604974955,0.4352306789106535
10,2.60128876126785,2.940004159234836,0.07255540397486307,0.3917875948866345,2.701804943332945,2.7212881503881543,0.17307158603995862,0.17307158603995254,11.0,2.335437006285106,2.9463939509415296,-0.1932963510078808,0.3981773865933279
11,2.4482944344977176,2.720622852666068,0.08435978156565677,0.37584212101194897,2.54588394468784,2.52674028728029,0.18194929175577912,0.18195955562617097,11.0,2.230223321409344,2.7175189806332924,-0.13371133152271672,0.3727382489791734
12,2.316255199803226,2.515871974935364,0.09597884380671912,0.3394505712465867,2.395775520157077,2.351920538024829,0.1754991641605703,0.1754991343360513,12.0,2.0875617405137206,2.731487418392585,-0.13271461548278615,0.5550660147038076
13,2.169428620173007,2.412240651665911,0.08512159062570909,0.3858232105916575,2.2732935835452333,2.2154039950721907,0.18898655399793524,0.18898655399793682,14.0,2.1743824387504755,2.735261864491827,0.09007540920317741,0.708844423417573
14,2.044579662318851,2.2912271409474343,0.08770440050840694,0.411454191669948,2.156531333476328,2.0794439440067913,0.1996560716658841,0.1996709947293053,14.0,2.0076673417022897,2.557245044961787,0.050792079891845573,0.677472095684301
15,1.9290775898784533,2.175531194964925,0.09025916621172661,0.4269324469735562,2.0451812537969616,1.9549617928816792,0.20636283013023496,0.2063630448903101,15.0,1.948929178550549,2.3670771383845337,0.11011075488382224,0.6184783903931647
16,1.7987555052771718,2.105634103917904,0.07307030659873044,0.4845510147354775,1.9369385388851028,1.8323364293890947,0.2112533402066617,0.21125334020666808,17.0,1.9432090418648114,2.4285988283298057,0.2175238431863701,0.8075157391473792
17,1.7035846964450712,1.9730762774247927,0.08486973293933384,0.4720209459228634,1.83307570804218,1.7154160760383632,0.2143607445364426,0.2143607445364338,18.0,1.9661135262188827,2.396090081637909,0.34739856271314523,0.8950347501359796
18,1.6237687008213464,1.8123766633229454,0.10402200318922067,0.4146500390352965,1.7311395366701268,1.6091443150502596,0.21139283903800093,0.2114176907626104,18.0,1.9262402974443678,2.452036970779365,0.40649359981224203,1.054310346491716
19,1.5234625594092082,1.7060614975888,0.09603763224405037,0.4066092718022732,1.6318306274514642,1.5038998955809473,0.2044057002863065,0.2044476697944205,19.0,1.7853674670976296,2.2019429356287263,0.3579425399324717,0.9024907098421995
20,1.4210324174813551,1.6079276702911836,0.08103539680688567,0.4039274129270055,1.53868984108723,1.4026938299565024,0.19869282041276065,0.19869357259232434,20.0,1.7571310489513168,2.173684421379313,0.41713402827684737,0.9696841640151352
