k,avg_error_A0_standard_PCA,avg_error_A1_standard_PCA,avg_loss_A0_standard_PCA,avg_loss_A1_standard_PCA,avg_error_A0_fair_PCA,avg_error_A1_fair_PCA,avg_loss_A0_fair_PCA,avg_loss_A1_fair_PCA,rank_fair_PCA,avg_error_A0_LAFTR,avg_error_A1_LAFTR,avg_loss_A0_LAFTR,avg_loss_A1_LAFTR
1,5.476782836982702,6.031666991068753,0.11876755681864078,0.3530828742643492,5.475978849244648,5.796550922420582,0.11796356908058737,0.11796680561617728,1.0,5.607539585359961,5.8915161572166275,0.24952430519590013,0.21293204041222388
2,4.870305850287998,5.442780841418941,0.11884897225655396,0.33124440087449475,4.864102382946323,5.2241823719412,0.11264550491487872,0.11264593139675465,2.0,4.597185644882694,4.715904600523147,-0.15427123314874944,-0.3956318400212986
3,4.408555721366917,4.9832452820372115,0.10411883337302123,0.3563171136451842,4.433679524236226,4.756171285680219,0.1292426362423299,0.12924311728819193,3.0,4.164437008176479,4.325728019837006,-0.1399998798174166,-0.30120014855502153
4,4.090014634275044,4.513435965169973,0.1312132772807168,0.31277739292457285,4.089562673038676,4.3314233413753795,0.13076131604434874,0.1307647691299796,4.0,3.812671351870625,4.037934278170535,-0.14613000512370242,-0.16272429407486474
5,3.8013977017732974,4.102746841337368,0.1507318619585094,0.2566235879039708,3.794455492799804,3.989923915269839,0.14378965298501606,0.1438006618364419,5.0,3.525768900994458,3.7018941458383092,-0.12489693882033001,-0.1442291075950878
6,3.5074768290249976,3.835857958914759,0.13443397884496402,0.301895356291135,3.535023337222593,3.695942564912307,0.16198048704255974,0.16197996228868305,6.0,3.2415429442990282,3.3989443518656697,-0.13149990588100546,-0.13501825075795462
7,3.3159075866178394,3.5203382706404276,0.20022193540451064,0.27183222989161565,3.300618732963078,3.4334391224985588,0.18493308174974885,0.1849330817497466,8.0,3.0961275123428504,3.228779343080858,-0.019558138870478175,-0.019726697667954384
8,3.0652585676056474,3.2755991085564755,0.17395029419281205,0.27565136672115875,3.0687835904741623,3.177415556995885,0.17747531706132674,0.17746781516056803,8.0,2.875603896819847,3.0230168948123897,-0.01570437659298835,0.023069152977073078
9,2.84264819151613,3.0311930510058116,0.15770990640865254,0.26600534923091657,2.8507370552230302,2.9309864648681776,0.16579877011555288,0.16579876309328273,9.0,2.887893378196487,3.001051291015737,0.2029550930890098,0.23586358924084203
10,2.6900402354875745,2.8061814061465924,0.17433806578074934,0.25796484179838924,2.6879544577338494,2.7204727611887405,0.17225228802702414,0.17225619684053736,10.0,2.7506966000498942,2.8356298805284834,0.23499443034306922,0.2874133161802806
11,2.5129765848196044,2.6104312716373475,0.16075776410458714,0.26565053998322863,2.5331161943351277,2.525692309934055,0.18089737362011019,0.18091157827993615,11.0,2.6109004183696243,2.7147198786801363,0.2586815976546068,0.3699391470260173
12,2.3694846793224036,2.4245211510750515,0.15993169251180597,0.2480997473862749,2.3839983101564113,2.3508665698207265,0.174445323345814,0.17444516613195016,12.0,2.528724718385857,2.612592378772989,0.3191717315752596,0.43617097508421254
13,2.2767951925852135,2.253151772559764,0.20310767683419706,0.22673433148551017,2.2609707093085407,2.213700634631776,0.18728319355752432,0.18728319355752207,14.0,2.483667479638375,2.5864966778218137,0.4099799638873587,0.56007923674756
14,2.1564020038280343,2.118956937326084,0.20992032025404914,0.23918398804859886,2.1440741499937395,2.0773869603648825,0.19759246641975436,0.19761401108739748,14.0,2.480490920369791,2.5533860198227645,0.5340092367958058,0.6736130705452795
15,2.0439270848626543,1.9946625243382696,0.21630110510208847,0.2460637763468995,2.0318408833993358,1.9528370462900397,0.20421490363876973,0.20423829829866955,15.0,2.397288090786451,2.422996912995976,0.5696621110258852,0.6743981650046061
16,1.9385509407292174,1.8663269065389976,0.22134926660406826,0.24524381735657158,1.9252507277523365,1.8291321428096028,0.2080490536271874,0.20804905362717682,17.0,2.2501932974950347,2.269962317682726,0.5329916233698855,0.6488792285003
17,1.8370445803218252,1.749255780361047,0.22510270981974723,0.24820044885911752,1.82333536641591,1.7124589244783865,0.21139349591383214,0.21140359297645717,17.0,2.321901852049982,2.264427319473637,0.7099599815479042,0.7633719879717074
18,1.741904091997537,1.632512657010541,0.22692551687148685,0.23478603272289153,1.7229179047666117,1.6056670828946618,0.20793932964056155,0.2079404586070122,18.0,2.215953113997687,2.127601510375398,0.7009745388716372,0.7298748860877482
19,1.6416419723089528,1.5278707934128088,0.21964643619385543,0.22841856762628238,1.6230838858107441,1.500580795817784,0.20108834969564665,0.20112857003125745,19.0,2.1516224898002583,2.154537606210232,0.7296269536851606,0.8550853804237055
20,1.560598641886638,1.4052249628002955,0.22513313418801406,0.2012247054361176,1.530897337533426,1.3994322947340483,0.19543182983480223,0.19543203736987036,20.0,2.0802447835942695,2.0069584002318526,0.7447792758956457,0.8029581428676748
