k,standard_PCA_avg_loss,standard_PCA_standard_error,fair_PCA_avg_loss,fair_PCA_standard_error,LAFTR_avg_loss,LAFTR_standard_error
1,0.687528862669896,0.0012455815196615245,0.6884020479085361,0.0009858469694835209,,
2,0.6083022003350823,0.005406827435168529,0.6166454791725734,0.0046105026959665715,0.6144912385829844,0.010419718139624582
3,0.6068412559396322,0.005026529253767344,0.6153484970843666,0.004707078030841176,0.6153166872162625,0.012097386398452785
4,0.6083687252108791,0.00552854017252806,0.6159363153742612,0.004049953614135621,0.6175109283652953,0.011479608290903963
5,0.6047341087400351,0.007099719046748409,0.612441779121436,0.005338863533288276,0.6166594103303596,0.01141633718990457
6,0.6047585143320888,0.007803574226559414,0.6120631156205716,0.00575474317108228,0.6182719134598708,0.012599597375790876
7,0.6051527657073414,0.00796358895720296,0.6125721475320873,0.00592686337508395,0.6176386500141778,0.012503393034521608
8,0.603602144602234,0.008217982044747807,0.6105590238486073,0.006242785131780057,0.6191161101406291,0.012906604167731624
9,0.5994180845289271,0.008750616837448048,0.6075302321684872,0.007317144642014609,0.6194158910445655,0.010446767704961033
10,0.6003950245399094,0.00895845479056605,0.6079563345753731,0.00753873996871439,0.620776150699695,0.01182405655014877
