k,standard_PCA_avg_loss,standard_PCA_standard_error,fair_PCA_avg_loss,fair_PCA_standard_error,LAFTR_avg_loss,LAFTR_standard_error
1,0.6903400335189658,0.0013508229692428474,0.7234392074600301,0.026784496720910426,,
2,0.6085105673218484,0.005370360070556325,0.6168304692657898,0.0045825398518435255,0.6145785884568223,0.0104279748757794
3,0.6143586385106451,0.0057995835975827685,0.6194136894277593,0.004659099030341475,0.6156855572802823,0.01210733065760135
4,0.6172152988875921,0.006285565392350245,0.618333879694183,0.004264725356563121,0.6172738868881076,0.01072089435858996
5,0.6102493342181972,0.006686663182222015,0.6165975985909476,0.0045496810614095275,0.6172468129642935,0.012114645296961128
6,0.6100083008119516,0.006930911212020211,0.6153059163852376,0.004844880108054132,0.6172728257519272,0.012245010952954737
7,0.6101070569401911,0.006945043787943329,0.6158963195527766,0.004804755327619036,0.6168702512707205,0.012038030512735158
8,0.6094480243332066,0.006994196062782371,0.6131193644595794,0.0050976826930165305,0.617127905820569,0.011568564716642601
9,0.6082185033058167,0.007242309709140354,0.608661301266736,0.005829286168129785,0.6183182997673398,0.00979322644492455
10,0.6094886957279131,0.0074683279949565974,0.6088216923066353,0.005673273861347291,0.6202071582472841,0.01108000586507882
