k,avg_error_A0_standard_PCA,avg_error_A1_standard_PCA,avg_loss_A0_standard_PCA,avg_loss_A1_standard_PCA,avg_error_A0_fair_PCA,avg_error_A1_fair_PCA,avg_loss_A0_fair_PCA,avg_loss_A1_fair_PCA,rank_fair_PCA,avg_error_A0_LAFTR,avg_error_A1_LAFTR,avg_loss_A0_LAFTR,avg_loss_A1_LAFTR
1,3.745585515584076,4.02290760330677,0.14862388706754978,0.06400896392461196,3.5987717796512766,3.9607087810945205,0.0018101511347503826,0.0018101417123627442,1.0,,,,
2,2.6773693407947667,2.8994061591180857,0.050634144079651645,0.023052616010165193,2.6589499624877004,2.9085683224747436,0.03221476577258506,0.032214779366823196,2.0,2.719461261837715,2.866067679409996,0.09272606512259975,-0.010285863697924261
3,2.278612397788508,2.3857380131056622,0.121066210505412,0.022745905329675725,2.22420811487312,2.4296536315642534,0.0666619275900235,0.06666152378826713,3.0,2.2391356190554292,2.267824117392999,0.08158943177233295,-0.09516799038298734
4,1.83912932729764,1.9681248583961914,0.056807111727803304,0.018468976922993346,1.8158345353893384,1.9831680398620113,0.03351231981950177,0.0335121583888131,4.0,1.831687524335205,1.9842186937518376,0.04936530876536843,0.03456281227863942
5,1.5732146635502968,1.6301930623667134,0.10894183141295159,0.04538932126266617,1.53373475572294,1.6542656646896319,0.06946192358559479,0.06946192358558476,6.0,1.5821737604126043,1.6487431662120777,0.11790092827525911,0.06393942510803066
6,1.2943182729877927,1.318030246095299,0.040543194804228515,0.011294255709511584,1.2779989478383633,1.330959832219715,0.02422386965479917,0.02422384183392758,6.0,1.3343641259627792,1.3729356171712312,0.08058904777921512,0.06619962678544387
7,1.1005162063581224,1.1136517401998114,0.03883519289597226,0.019666222160084738,1.0881514189844521,1.1204552827154939,0.026470405522301982,0.026469764675767213,7.0,1.1444693753068873,1.1656002506706908,0.082788361844737,0.07161473263096421
8,0.9381775085380187,0.9051788720606602,0.045608296582615206,0.013045807448226239,0.919694088490889,0.9192579473702452,0.02712487653548545,0.027124882757811223,8.0,1.1190563836014775,1.1037589149095506,0.22648717164607396,0.21162585029711653
9,0.770483213421869,0.7435163469122056,0.03790202409021663,0.010989388331794414,0.7552618932732207,0.7552076625219521,0.02268070394156831,0.02268070394154101,10.0,1.023844194234856,1.032735386802438,0.29126300490320356,0.3002084282220269
10,0.6123973378535964,0.5976007139175121,0.03202093314242315,0.012805937496794815,0.6000708581779222,0.6044884904664619,0.01969445346674898,0.01969371404574461,10.0,0.9246553422345913,0.8532799541021477,0.34427893752341815,0.2684851776814304
